Sum,YearEnd,Hour,WeekDay,HaveDeviceId,EuropeAsiaCountryIp,Refund
0.84,2018,19.233333333333334,6,0,1,0
0.83,2017,19.233333333333334,6,0,1,0
3.35,2018,19.233333333333334,6,0,1,0
2.99,2021,19.233333333333334,6,0,1,0
16.75,2018,19.233333333333334,6,1,1,0
3.93,2018,19.233333333333334,6,0,1,0
10.51,2018,19.233333333333334,6,1,0,0
12.4,2018,19.233333333333334,6,1,1,0
1.97,2017,19.233333333333334,6,1,1,0
0.88,2017,19.233333333333334,6,0,1,0
30.14,2019,19.233333333333334,6,1,1,0
4.9,2021,19.233333333333334,6,1,0,0
0.33,2018,19.233333333333334,6,0,1,0
6.24,2018,19.25,6,1,1,0
1.24,2019,19.25,6,0,1,0
99.99,2019,19.25,6,1,0,0
8.04,2019,19.25,6,0,1,0
5.94,2019,19.25,6,1,1,0
5.02,2019,19.25,6,1,1,0
21.78,2018,19.25,6,1,1,0
19.99,2020,19.25,6,1,0,0
10.0,2024,19.25,6,0,0,0
46.92,2020,19.25,6,0,1,0
0.26,2020,19.25,6,0,1,0
7.3,2017,19.25,6,1,1,0
34.99,2020,19.25,6,1,0,0
10.0,2024,19.25,6,1,1,0
1.67,2020,19.25,6,1,1,0
24.95,2019,19.25,6,1,0,0
25.12,2018,19.266666666666666,6,1,1,0
0.18,2017,19.266666666666666,6,0,1,0
44.92,2022,19.266666666666666,6,1,1,0
0.33,2017,19.266666666666666,6,0,1,0
0.88,2020,19.266666666666666,6,0,1,0
2.47,2020,19.266666666666666,6,1,1,0
2.51,2018,19.266666666666666,6,1,1,0
16.83,2021,19.266666666666666,6,1,1,0
4.99,2021,19.266666666666666,6,1,1,0
20.0,2020,19.266666666666666,6,1,0,0
3.35,2018,19.266666666666666,6,1,1,0
33.5,2019,19.266666666666666,6,0,1,0
1.67,2018,19.266666666666666,6,0,1,0
5.89,2017,19.266666666666666,6,1,1,0
20.99,2018,19.283333333333335,6,1,1,0
0.31,2019,19.283333333333335,6,0,1,0
6.3,2019,19.283333333333335,6,1,1,0
44.95,2018,19.283333333333335,6,1,0,0
49.99,2020,19.283333333333335,6,1,0,0
99.99,2019,19.283333333333335,6,1,1,0
20.0,2020,19.283333333333335,6,1,0,0
5.25,2019,19.283333333333335,6,1,1,0
3.35,2018,19.283333333333335,6,1,1,0
1.67,2018,19.283333333333335,6,1,1,0
5.02,2019,19.283333333333335,6,1,1,0
5.14,2017,19.283333333333335,6,1,1,0
1.95,2018,19.3,6,0,1,0
6.14,2020,19.3,6,1,1,0
6.14,2017,19.3,6,1,1,0
5.99,2018,19.3,6,1,1,0
8.36,2019,19.3,6,1,1,0
0.78,2021,19.3,6,0,0,0
4.99,2018,19.3,6,1,0,0
20.0,2020,19.3,6,1,0,0
24.99,2018,19.3,6,1,1,0
2.63,2020,19.3,6,0,0,0
4.35,2018,19.3,6,1,1,0
19.99,2020,19.3,6,1,0,0
30.0,2017,19.3,6,1,1,0
26.18,2026,19.3,6,1,1,0
19.77,2018,19.3,6,0,1,0
20.0,2018,19.3,6,1,0,0
99.99,2017,19.3,6,1,0,0
8.37,2017,19.3,6,1,1,0
0.88,2019,19.3,6,1,1,0
14.99,2020,19.3,6,1,0,0
5.99,2017,19.3,6,1,1,0
9.99,2018,19.3,6,1,0,0
21.78,2019,19.3,6,1,1,0
4.99,2020,19.316666666666666,6,1,0,0
9.99,2017,19.316666666666666,6,1,0,0
18.57,2020,19.316666666666666,6,1,1,0
20.0,2018,19.316666666666666,6,1,0,0
5.89,2021,19.316666666666666,6,1,1,0
1.67,2018,19.316666666666666,6,0,1,0
9.99,2019,19.316666666666666,6,1,0,0
8.0,2020,19.316666666666666,6,1,0,0
4.14,2017,19.316666666666666,6,0,1,0
5.89,2018,19.316666666666666,6,1,1,0
89.99,2018,19.316666666666666,6,1,0,0
8.37,2018,19.316666666666666,6,1,1,0
0.83,2018,19.333333333333332,6,1,1,0
12.06,2018,19.333333333333332,6,1,1,0
2.5,2017,19.333333333333332,6,1,0,0
33.81,2023,19.733333333333334,6,1,0,1
1.99,2018,19.766666666666666,6,1,0,1
31.5,2018,5.6,0,1,0,1
31.5,2018,5.616666666666667,0,1,0,1
2.61,2024,6.65,0,1,0,1
9.99,2017,7.55,0,0,0,1
29.99,2018,15.733333333333333,0,1,0,1
29.99,2017,16.466666666666665,0,1,0,1
29.94,2017,16.6,0,1,1,1
5.61,2020,16.716666666666665,0,1,1,1
22.43,2020,16.8,0,1,1,1
56.08,2020,16.983333333333334,0,1,1,1
29.95,2017,17.35,0,1,0,1
29.99,2018,17.9,0,1,0,1
29.95,2019,18.05,0,1,0,1
16.99,2019,18.65,0,0,0,1
29.95,2019,18.966666666666665,0,1,0,1
29.95,2018,19.3,0,1,0,1
52.5,2019,20.5,0,0,1,1
29.94,2017,20.55,0,1,1,1
31.5,2019,20.6,0,0,1,1
5.99,2018,21.3,0,1,1,1
56.21,2020,22.45,0,1,1,1
35.93,2018,0.38333333333333336,1,1,1,1
9.99,2020,0.65,1,1,0,1
31.5,2018,0.6666666666666666,1,1,0,1
31.5,2018,0.7166666666666667,1,1,0,1
225.64,2017,2.3666666666666667,1,1,0,1
31.5,2018,3.283333333333333,1,1,0,1
31.5,2018,3.3166666666666664,1,1,0,1
10.73,2020,5.116666666666666,1,1,0,1
10.73,2020,5.166666666666667,1,1,0,1
225.64,2021,5.733333333333333,1,1,0,1
31.5,2018,7.116666666666666,1,1,0,1
31.5,2018,7.116666666666666,1,1,0,1
31.5,2018,11.2,1,1,0,1
31.5,2018,11.233333333333333,1,1,0,1
100.0,2020,12.55,1,1,0,1
4.99,2020,13.833333333333334,1,1,1,1
29.94,2020,18.3,1,1,0,1
29.94,2020,18.35,1,1,0,1
11.28,2020,18.9,1,1,1,1
31.5,2018,18.983333333333334,1,1,0,1
4.99,2019,19.816666666666666,1,1,1,1
31.5,2018,20.0,1,1,0,1
29.99,2017,20.4,1,1,0,1
29.99,2018,20.983333333333334,1,1,0,1
13.21,2019,23.8,1,0,1,1
31.5,2018,23.8,1,1,0,1
50.0,2020,23.866666666666667,1,1,0,1
4.99,2020,0.16666666666666666,2,1,0,1
31.5,2018,2.783333333333333,2,1,0,1
14.97,2019,7.516666666666667,2,1,0,1
50.0,2019,8.883333333333333,2,1,0,1
46.5,2018,15.166666666666666,2,0,1,1
46.53,2020,15.483333333333333,2,0,1,1
44.3,2019,15.5,2,1,1,0
46.52,2020,15.5,2,0,1,1
52.5,2017,15.5,2,1,0,0
6.14,2018,15.5,2,1,1,0
17.39,2019,15.5,2,1,1,0
3.58,2019,15.5,2,0,1,0
0.84,2018,15.516666666666667,2,0,1,0
0.67,2018,15.516666666666667,2,0,1,0
1.51,2018,15.516666666666667,2,0,1,0
0.84,2018,15.516666666666667,2,1,1,0
2.1,2019,15.516666666666667,2,1,0,0
10.73,2019,15.516666666666667,2,1,1,0
8.43,2018,15.516666666666667,2,0,1,0
15.0,2018,15.516666666666667,2,1,0,0
4.99,2018,15.516666666666667,2,1,0,0
4.98,2019,15.516666666666667,2,1,1,0
0.74,2020,15.516666666666667,2,1,1,0
12.65,2018,15.516666666666667,2,1,1,0
46.52,2020,15.516666666666667,2,0,1,1
1.68,2019,15.516666666666667,2,0,1,0
2.42,2017,15.516666666666667,2,1,1,0
10.0,2020,15.516666666666667,2,1,1,0
10.1,2018,15.533333333333333,2,1,1,0
4.99,2019,15.533333333333333,2,1,1,0
6.23,2018,15.533333333333333,2,1,1,0
39.99,2021,15.533333333333333,2,1,1,0
21.93,2021,15.533333333333333,2,1,1,0
1.68,2021,15.533333333333333,2,0,1,0
25.1,2017,15.533333333333333,2,0,1,0
16.85,2018,15.533333333333333,2,1,1,0
1.99,2017,15.533333333333333,2,1,1,0
7.81,2019,15.533333333333333,2,1,1,0
50.0,2020,15.533333333333333,2,1,0,0
8.13,2019,15.533333333333333,2,1,1,0
8.43,2019,15.533333333333333,2,1,1,0
5.56,2021,15.533333333333333,2,1,1,0
9.42,2019,15.533333333333333,2,1,1,0
17.9,2017,15.533333333333333,2,1,1,0
5.92,2018,15.55,2,1,1,0
0.84,2018,15.55,2,1,1,0
